url,mname,name,amount,minwithdraw,maxwithdraw,rollover,ratio,claimconfig,claimcondition,bonus,bonusrandom,reset,mintopup,maxtopup,referlink,perceived_value,is_new
https://rtpvictory88.com,RTPVICTORY88,<b>HOURLY FREE CREDIT,3.0,50.0,10.0,0.0,16.666666666666668,"{""creditLessThan"":0.1,""walletId"":1,""changeGameId"":1,""displayDescriptionOnly"":""1""}",FREE,0.0,,HOURLY,,,,1.1509900370660882,1
https://rtpvictory88.com,RTPVICTORY88,<B>Download Apps Free,50.0,500.0,15.0,0.0,10.0,"{""creditLessThan"":0.1,""displayDescriptionOnly"":""1"",""walletId"":1,""changeGameId"":1,""displayAngpaoText"":""1"",""mobileAppOnly"":""1""}",FREE,0.0,,,,,,3.0175551213073413,1
https://weplay88.com,WePlay88,"<b style=""color:gold;"">⭐Ultimate Rewards Event</b>",888.0,4440.0,30.0,0.0,5.0,"{""creditLessThan"":0.1,""startDate"":""2025-10-29"",""displayDescriptionOnly"":""1"",""displayAngpaoText"":""0"",""changeGameId"":1,""walletId"":1}",FREE,0.0,,MONTHLY,,,,10.53410957239426,1
https://candymommy.co,CANDYMOMMY,"<b style=""color:black;"">NEW REGISTER FREE</b>",200.0,4000.0,20.0,0.0,20.0,"{""creditLessThan"":0.1,""displayDescriptionOnly"":""1"",""registerDate"":""2022-05-06"",""walletId"":1,""changeGameId"":1}",FREE,0.0,,,,,,1.5168728522373116,1
https://candymommy.co,CANDYMOMMY,"<b style=""color:black;"">HOURLY BONUS</b>",15.0,200.0,5.0,0.0,13.333333333333334,"{""displayDescriptionOnly"":""1"",""displayAngpaoText"":""1"",""walletId"":1,""changeGameId"":1,""creditLessThan"":0.1,""resetHour"":2}",FREE,0.0,,HOURLY,,,,1.2588993529486476,1
https://world99aud.com,WORLD99,<b>Only Fan【Limited】</b>,10.0,199.0,10.0,0.0,19.9,"{""maxRoundTargetAll"":1,""displayDescriptionOnly"":""1"",""creditLessThan"":0.1,""changeGameId"":1,""walletId"":1}",FREE,0.0,,DAILY,,,,0.9945015538788536,1
https://world99aud.com,WORLD99,<b>Download App Bonus</b>,20.0,499.0,10.0,0.0,24.95,"{""creditLessThan"":0.1,""displayDescriptionOnly"":""1"",""displayAngpaoText"":""1"",""mobileAppOnly"":""1"",""ignoreTrxAmount"":1,""changeGameId"":1,""walletId"":1}",FREE,0.0,,DAILY,,,,0.7844515302831455,1
https://mrpokies77.com,MR.POKIES77,<b>FREE 365</b>,5.0,100.0,0.05,0.0,20.0,"{""creditLessThan"":0.1,""displayDescriptionOnly"":""1"",""displayAngpaoText"":""1""}",FREE,0.0,,DAILY,,,,0.0192326100127747,1
https://mrpokies77.com,MR.POKIES77,<b>Download Apps Daily</b>,20.0,500.0,5.0,0.0,25.0,"{""creditLessThan"":0.1,""displayDescriptionOnly"":""1"",""registerDate"":""2024-06-17"",""walletId"":1,""changeGameld"":1,""mobileAppOnly"":""1"",""displayAngpaoText"":""1""}",FREE,0.0,,DAILY,,,,0.5846942029551774,1
https://mrpokies77.com,MR.POKIES77,<b>▶️REFRESHING FREE</b>,88.0,600.0,15.0,0.0,6.818181818181818,"{""creditLessThan"":0.1,""displayDescriptionOnly"":""1"",""walletId"":1,""changeGameId"":1,""displayAngpaoText"":""1""}",FREE,0.0,,WEEKLY,,,,5.0460430296218215,1
